Nuly a vahy Gauss-Legendreovho polynomu 64. stupL?a. PolynAlm je symetricky,
preto su uvedene iba nuly v intervale (0,1). Integral sa samozrejme musi pocitat v
celom intervale (-1,1), takze pouzijete 64 volani funkcie v bodoch x(i),

                               x(32+i) = - x(i)   i<= 32. 

 Vahy su samozrejme symetricke, 

                               v(32+i) = v(i) 

	x                  v
     0.999305041735772 0.001783280721696
     0.996340116771955	0.004147033260562
      0.991013371476744	0.006504457968978
     0.983336253884625	0.008846759826363
      0.973326827789910	0.011168139460131
      0.961008799652053	0.013463047896718
      0.946411374858402	0.015726030476024
      0.929569172131939	0.017951715775697
      0.910522137078502	0.020134823153530
      0.889315445995114	0.022270173808383
      0.865999398154092	0.024352702568710
      0.840629296252580	0.026377469715054
      0.813265315122797	0.028339672614259
      0.783972358943341	0.030234657072402
      0.752819907260531	0.032057928354851
     0.719881850171610	0.033805161837141
      0.685236313054233	0.035472213256882
      0.648965471254657	0.037055128540240
      0.611155355172393	0.038550153178615
     0.571895646202634	0.039953741132720
      0.531279464019894	0.041262563242623
     0.489403145707052	0.042473515123653
      0.446366017253464	0.043583724529323
      0.402270157963991	0.044590558163756
      0.357220158337668	0.045491627927418
      0.311322871990210	0.046284796581314
      0.264687162208767	0.046968182816210
      0.217423643740007	0.047540165714830
      0.169644420423992	0.047999388596458
      0.121462819296120	0.048344762234802
      0.072993121787799	0.048575467441503
      0.024350292663424   0.048690957009139
